Statutory Config	/api/config/statutory	GET	Get Statutory Config	
Statutory Config	/api/config/statutory	PUT	Save Statutory Config	
Statutory Config	/api/config/statutory/component-mapping	GET	Get Component Mapping	
Statutory Config	/api/config/statutory/component-mapping	PUT	Save Component Mapping	
Statutory Config	/api/config/statutory/esic	GET	Get Esic Config	
Statutory Config	/api/config/statutory/esic	PUT	Save Esic Config	
Statutory Config	/api/config/statutory/income-tax	GET	Get Income Tax Config	
Statutory Config	/api/config/statutory/income-tax	PUT	Save Income Tax Config	
Statutory Config	/api/config/statutory/income-tax/reset	POST	Reset Income Tax Config	
Statutory Config	/api/config/statutory/income-tax/years/{financial_year}	DELETE	Delete Tax Year	
Statutory Config	/api/config/statutory/income-tax/years/{financial_year}	PUT	Upsert Tax Year	Add or replace one financial year's parameters.
Statutory Config	/api/config/statutory/pf	GET	Get Pf Config	
Statutory Config	/api/config/statutory/pf	PUT	Save Pf Config	
Statutory Config	/api/config/statutory/reset	POST	Reset To Defaults	
Statutory Config	/api/config/statutory/rule-thresholds	GET	Get Rule Thresholds	
Statutory Config	/api/config/statutory/rule-thresholds	PUT	Save Rule Thresholds	
Statutory Config	/api/config/statutory/rule-thresholds/reset	POST	Reset Rule Thresholds	
Statutory Config	/api/config/statutory/summary	GET	Config Summary	
Statutory Config	/api/config/statutory/test-expression	POST	Test Expression	
admin	/api/admin/users	GET	List Tenant Users	
admin	/api/admin/users/{target_id}/role	PATCH	Patch User Role	
audit	/api/audit	GET	Trail	Who uploaded, approved, changed or exported what.
audit	/api/audit/actions	GET	Actions	The action names the trail uses, so a filter can offer real options.
auth	/api/auth/login	POST	Login	
auth	/api/auth/logout	POST	Logout	Revokes the given refresh token (no access token required).
auth	/api/auth/me	GET	Me	
auth	/api/auth/password-reset-confirm	POST	Password Reset Confirm	
auth	/api/auth/password-reset-request	POST	Password Reset Request	
auth	/api/auth/refresh	POST	Refresh Token	
auth	/api/auth/signup	POST	Signup	
bi	/api/bi/compensation	GET	Compensation	How pay is distributed, for one month, on annualised CTC.
bi	/api/bi/compliance	GET	Compliance	Filing readiness against the statutory calendar.
bi	/api/bi/cost-analysis	GET	Cost Analysis	Payroll cost by any reporting dimension, over month, quarter or year.
bi	/api/bi/cost-bridge	GET	Cost Bridge	Why payroll cost moved between two months.
bi	/api/bi/cost-compare	GET	Cost Compare	Two wage months side by side, across the taxonomy and by one dimension.
bi	/api/bi/dimensions	GET	Dimensions	Which dimensions exist and what values they hold, for building filters.
bi	/api/bi/exposure	GET	Exposure	Accumulated statutory shortfall, aged, with interest and damages.
